ID,Post_ID,Date,Comment,Sentiment,Time
21,P3,17/09/2024,"Mưa lớn quá, không biết tình hình ở khu vực Đống Đa sao rồi? Cầu mong mọi người an toàn.",Negative,16:20
22,P1,17/09/2024,"Đội cứu hộ đang làm việc rất tích cực, cảm ơn các anh rất nhiều!",Positive,18:00
23,P2,17/09/2024,"Cập nhật tình hình thời tiết mới nhất đi ạ, ở khu vực Hoàn Kiếm có bị ngập nặng không?",Neutral,20:15
24,P3,17/09/2024,"Cơ quan chức năng cần sớm có biện pháp ứng phó kịp thời, nước đang lên rất nhanh.",Negative,21:30
25,P1,18/09/2024,"Ai có xuồng cứu sinh ở gần khu vực Thanh Xuân thì cho em mượn với ạ, nhà em bị ngập nặng quá rồi!",Negative,07:45
26,P2,18/09/2024,"Theo dự báo, mực nước sông Hồng đang dâng rất cao, mọi người nên cẩn thận.",Negative,09:20
27,P3,18/09/2024,"UBND Thành phố đã chỉ đạo các quận, huyện sơ tán dân ở những vùng có nguy cơ cao chưa ạ?",Neutral,11:50
28,P1,18/09/2024,"Những hình ảnh cứu hộ thật cảm động, Hà Nội sẽ sớm vượt qua khó khăn này.",Positive,14:40
29,P2,19/09/2024,"Mưa có vẻ đã ngớt, hy vọng nước sẽ rút nhanh trong chiều nay.",Neutral,16:30
30,P3,19/09/2024,"Các địa phương cần có phương án hỗ trợ người dân khắc phục hậu quả sau mưa lũ.",Neutral,18:10
31,P1,19/09/2024,"Ở khu vực Ba Đình nước đã rút chưa mọi người ơi?",Neutral,20:00
32,P2,19/09/2024,"Dự báo trong 24 giờ tới, tình hình mưa lũ sẽ diễn biến thế nào?",Neutral,22:05
33,P3,20/09/2024,"Chính phủ đã có gói hỗ trợ khẩn cấp cho các hộ dân bị thiệt hại do lũ lụt chưa ạ?",Neutral,08:25
34,P1,20/09/2024,"Hiện tại, còn những khu vực nào ở Hà Nội bị ngập úng nghiêm trọng không ạ?",Negative,10:10
35,P2,20/09/2024,"Tình hình giao thông ở các tuyến đường chính đã ổn định trở lại chưa?",Neutral,12:45
36,P3,20/09/2024,"Đề nghị các cơ quan chức năng đẩy nhanh công tác vệ sinh môi trường sau lũ.",Neutral,15:20
37,P1,20/09/2024,"Mọi người ai có thông tin về các điểm quyên góp đồ cứu trợ thì chia sẻ nhé.",Neutral,17:55
38,P2,21/09/2024,"Hôm nay Hà Nội có còn mưa nữa không vậy mọi người?",Neutral,07:30
39,P3,21/09/2024,"Cần rà soát, kiểm tra lại hệ thống đê điều để đảm bảo an toàn cho những đợt mưa lũ sau.",Neutral,09:15
40,P1,21/09/2024,"Hà Nội đã dần trở lại nhịp sống bình thường, nhưng vẫn còn nhiều khó khăn cần khắc phục.",Neutral,11:40
41,P2,21/09/2024,"Cảm ơn các đơn vị truyền thông đã cập nhật liên tục tình hình mưa lũ tại Hà Nội.",Positive,14:25
42,P3,17/09/2024,"Năm nay mưa lớn quá, lo cho người dân vùng trũng quá đi mất.",Negative,16:50
43,P1,17/09/2024,"Cầu mong lực lượng cứu hộ luôn mạnh khỏe và hoàn thành tốt nhiệm vụ.",Positive,18:35
44,P2,18/09/2024,"Nước sông Tô Lịch dâng cao chưa từng thấy, không biết có tràn bờ không?",Negative,08:10
45,P3,18/09/2024,"Chính quyền cần minh bạch thông tin về các khu vực nguy hiểm để người dân chủ động phòng tránh.",Neutral,10:40
46,P1,19/09/2024,"Thấy mọi người giúp đỡ nhau trong lũ lụt mà ấm lòng.",Positive,12:20
47,P2,19/09/2024,"Hôm nay trời âm u quá, liệu có mưa to trở lại không?",Neutral,14:55
48,P3,20/09/2024,"Cần hỗ trợ khẩn cấp lương thực, nước uống cho bà con vùng bị cô lập.",Neutral,07:40
49,P1,20/09/2024,"Có ai ở gần khu vực Mỹ Đình không, cho mình hỏi thăm tình hình với?",Neutral,09:50
50,P2,21/09/2024,"Dự báo thời tiết tuần tới thế nào, liệu có mưa bão gì nữa không ạ?",Neutral,11:15
51,P1,17/09/2024,"Thương quá Hà Nội ơi, mong mọi người bình an!",Negative,13:30
52,P2,17/09/2024,"Từ chiều tối nay mưa có giảm bớt không ad?",Neutral,15:45
53,P3,17/09/2024,"Mong chính quyền có biện pháp thoát nước tốt hơn, năm nào cũng ngập.",Neutral,17:20
54,P1,18/09/2024,"Các anh cứu hộ ơi, cứu giúp khu vực nhà em ở Đông Anh với, nước ngập sâu quá!",Negative,06:55
55,P2,18/09/2024,"Mưa thế này thì bao giờ mới rút hết nước đây?",Negative,08:40
56,P3,18/09/2024,"Nhà nước có chính sách hỗ trợ di dời dân khỏi vùng nguy hiểm không?",Neutral,10:25
57,P1,19/09/2024,"Đội cứu hộ đã đến được khu vực Gia Lâm chưa ạ?",Neutral,12:10
58,P2,19/09/2024,"Hôm nay Hà Nội vẫn mưa to à admin?",Neutral,13:50
59,P3,19/09/2024,"Mong rằng hệ thống cảnh báo lũ lụt sẽ được cải thiện trong tương lai.",Neutral,15:30
60,P1,19/09/2024,"Cảm phục tinh thần xả thân cứu người của các chiến sĩ!",Positive,17:15
61,P2,20/09/2024,"Nước rút đến đâu rồi ad ơi, nhà em vẫn ngập quá.",Negative,07:00
62,P3,20/09/2024,"Chính phủ nên xem xét việc quy hoạch lại hệ thống thoát nước của thành phố.",Neutral,08:50
63,P1,20/09/2024,"Ai biết chỗ nào bán áo phao gần khu vực Cầu Giấy không ạ?",Neutral,10:35
64,P2,20/09/2024,"Ngày mai có nắng không nhỉ, mong trời đừng mưa nữa.",Neutral,12:25
65,P3,21/09/2024,"Cần đảm bảo an ninh trật tự, tránh kẻ xấu lợi dụng tình hình lũ lụt.",Neutral,14:10
66,P1,21/09/2024,"Nhiều người dân tốt bụng đã tự bỏ tiền mua đồ cứu trợ, thật đáng trân trọng.",Positive,16:00
67,P2,21/09/2024,"May quá hôm nay trời hửng nắng, nước rút nhanh hơn rồi.",Positive,17:45
68,P3,21/09/2024,"Việc khắc phục hậu quả sau lũ lụt cần được thực hiện một cách đồng bộ và hiệu quả.",Neutral,19:30
69,P1,17/09/2024,"Hà Nội cố lên, chúng ta sẽ cùng nhau vượt qua khó khăn này!",Positive,21:15
70,P2,17/09/2024,"Khu vực Long Biên có mưa to không mọi người?",Neutral,22:40
71,P3,18/09/2024,"Lãnh đạo thành phố cần trực tiếp xuống hiện trường để chỉ đạo công tác cứu hộ.",Neutral,08:20
72,P1,18/09/2024,"Xin hãy ưu tiên cứu hộ cho người già và trẻ em!",Negative,10:00
73,P2,18/09/2024,"Liệu có đợt mưa lớn nào nữa trong những ngày tới không ạ?",Neutral,11:35
74,P3,19/09/2024,"Nhà nước cần hỗ trợ giống cây trồng, vật nuôi cho bà con nông dân bị thiệt hại.",Neutral,13:20
75,P1,19/09/2024,"Có ai biết thông tin gì về đội cứu hộ ở huyện Thường Tín không ạ?",Neutral,15:00
76,P2,19/09/2024,"Thời tiết xấu thế này ảnh hưởng lớn đến đời sống của người dân.",Negative,16:45
77,P3,20/09/2024,"Mong chính quyền quan tâm hơn đến công tác phòng chống thiên tai.",Neutral,07:30
78,P1,20/09/2024,"Cảm ơn các bạn tình nguyện viên đã không quản ngại khó khăn giúp đỡ người dân.",Positive,09:10
79,P2,20/09/2024,"Nhiều tuyến đường vẫn đang bị ùn tắc do ngập úng, mong mọi người cẩn thận.",Negative,10:55
80,P3,21/09/2024,"Cần sớm khôi phục hệ thống điện, nước sinh hoạt cho người dân vùng lũ.",Neutral,12:40
81,P1,21/09/2024,"Những tấm lòng hảo tâm vẫn đang hướng về Hà Nội, thật đáng quý!",Positive,14:30
82,P2,21/09/2024,"Dự báo thời tiết cho thấy tình hình đang khả quan hơn, mong rằng mọi chuyện sẽ sớm ổn định.",Positive,16:20
83,P3,17/09/2024,"Cần có biện pháp xử lý nghiêm những trường hợp đưa tin sai lệch về tình hình lũ lụt.",Neutral,18:00
84,P1,17/09/2024,"Mọi người ơi, ở khu vực Hoàng Mai có ai cần giúp đỡ gì không?",Neutral,19:40
85,P2,18/09/2024,"Mưa lớn kéo dài khiến nhiều nơi bị sạt lở, rất nguy hiểm.",Negative,07:25
86,P3,18/09/2024,"Chính quyền địa phương cần rà soát lại các khu vực có nguy cơ ngập úng cao.",Neutral,09:10
87,P1,18/09/2024,"Rất nhiều người dân đang cần hỗ trợ lương thực, thực phẩm, mong mọi người giúp đỡ.",Negative,10:50
88,P2,19/09/2024,"Nhiệt độ Hà Nội hôm nay bao nhiêu độ vậy ad?",Neutral,12:35
89,P3,19/09/2024,"Thành phố Hà Nội đã công bố số điện thoại khẩn cấp để người dân liên hệ khi cần hỗ trợ chưa?",Neutral,14:20
90,P1,19/09/2024,"Một số hộ dân ở khu vực Chương Mỹ đang bị cô lập, cần cứu hộ khẩn cấp!",Negative,16:05
91,P2,20/09/2024,"Nước sông Nhuệ đang ở mức báo động mấy vậy mọi người?",Neutral,17:50
92,P3,20/09/2024,"Đề nghị các cơ quan chức năng kiểm tra, xử lý các trường hợp găm hàng, tăng giá trục lợi.",Neutral,19:35
93,P1,20/09/2024,"Hội Chữ thập đỏ đang tiếp nhận đồ cứu trợ tại địa chỉ nào vậy ạ?",Neutral,21:20
94,P2,20/09/2024,"Mưa đã ngớt hẳn chưa hay vẫn còn mưa nhỏ ạ?",Neutral,23:00
95,P3,21/09/2024,"Sau khi nước rút, cần phun thuốc khử trùng để tránh dịch bệnh.",Neutral,08:40
96,P1,21/09/2024,"Thật tuyệt vời khi thấy tinh thần đoàn kết, giúp đỡ lẫn nhau của người dân thủ đô!",Positive,10:25
97,P2,21/09/2024,"Thời tiết Hà Nội trong những ngày tới có thuận lợi cho công tác khắc phục hậu quả mưa lũ không?",Neutral,12:10
98,P3,17/09/2024,"Các cấp chính quyền cần vào cuộc quyết liệt hơn nữa để hỗ trợ người dân.",Neutral,13:55
99,P1,17/09/2024,"Ở khu vực Thanh Trì có đội cứu hộ nào chưa ạ, nước ngập nhà em rồi!",Negative,15:40
100,P2,18/09/2024,"Nghe dự báo thời tiết nói đêm nay vẫn còn mưa, lo quá.",Negative,17:25
101,P3,18/09/2024,"Cần công khai, minh bạch các khoản tiền, hàng cứu trợ.",Neutral,19:10
102,P1,18/09/2024,"Thương các em nhỏ quá, không biết các em có đủ áo ấm không.",Negative,20:55
103,P2,19/09/2024,"Mực nước sông Hồng hôm nay có giảm không admin?",Neutral,07:45
104,P3,19/09/2024,"Nhà nước có chính sách hỗ trợ cho các doanh nghiệp bị thiệt hại do mưa lũ không?",Neutral,09:30
105,P1,19/09/2024,"Đội cứu hộ đang làm việc rất khẩn trương, mong mọi người dân đều an toàn.",Positive,11:15
106,P2,19/09/2024,"Khu vực Hà Đông còn mưa không mọi người ơi?",Neutral,13:00
107,P3,20/09/2024,"Cần có kế hoạch dài hạn để ứng phó với biến đổi khí hậu, giảm thiểu thiệt hại do thiên tai.",Neutral,14:45
108,P1,20/09/2024,"Ai có xuồng cho mình mượn với, mình cần đi mua đồ cho các em nhỏ.",Neutral,16:30
109,P2,20/09/2024,"Nước rút chậm quá, không biết bao giờ mới hết ngập đây.",Negative,18:15
110,P3,21/09/2024,"Cảm ơn Đảng, Nhà nước đã quan tâm, chỉ đạo sát sao công tác phòng chống lũ lụt.",Positive,20:00
111,P1,21/09/2024,"Rất nhiều tấm gương dũng cảm cứu người trong mưa lũ, cần được biểu dương.",Positive,21:45
112,P2,21/09/2024,"Hôm nay trời nắng đẹp, hy vọng mọi việc sẽ sớm trở lại bình thường.",Positive,23:30
113,P3,17/09/2024,"Lãnh đạo thành phố đã đi kiểm tra tình hình ngập lụt ở các quận, huyện chưa?",Neutral,08:50
114,P1,17/09/2024,"Mưa to thế này, các anh cứu hộ vất vả quá!",Positive,10:35
115,P2,17/09/2024,"Dự báo thời tiết có chính xác không, sao mưa mãi không tạnh?",Negative,12:20
116,P3,18/09/2024,"Chính quyền có kế hoạch gì để hỗ trợ người dân ổn định cuộc sống sau lũ chưa?",Neutral,14:00
117,P1,18/09/2024,"Có ai biết đội cứu hộ nào đang hoạt động ở khu vực Sóc Sơn không?",Neutral,15:45
118,P2,18/09/2024,"Mưa lớn khiến nhiều tuyến đường bị hư hỏng nặng, cần sớm sửa chữa.",Negative,17:30
119,P3,19/09/2024,"Nhà nước cần đầu tư thêm cho hệ thống dự báo, cảnh báo thiên tai.",Neutral,19:15
120,P1,19/09/2024,"Cảm ơn các nhà hảo tâm đã ủng hộ tiền và hiện vật cho người dân vùng lũ.",Positive,21:00
121,P2,19/09/2024,"Liệu trong tối và đêm nay, khu vực nội thành có mưa to trở lại không?",Neutral,22:45
122,P3,20/09/2024,"Cần huy động mọi nguồn lực để khắc phục hậu quả mưa lũ một cách nhanh nhất.",Neutral,08:30
123,P1,20/09/2024,"Ở khu vực Tây Hồ còn ai bị mắc kẹt không, cần cứu hộ không?",Neutral,10:15
124,P2,20/09/2024,"Nước rút nhưng vẫn còn ngập úng cục bộ ở một số nơi.",Negative,12:00
125,P3,21/09/2024,"Cần đảm bảo vệ sinh an toàn thực phẩm cho người dân sau lũ.",Neutral,13:45
126,P1,21/09/2024,"Tinh thần "lá lành đùm lá rách" của người Việt Nam thật đáng tự hào!",Positive,15:30
127,P2,21/09/2024,"Từ nay đến cuối tuần, thời tiết Hà Nội có mưa nữa không ad?",Neutral,17:15
128,P3,17/09/2024,"Cần có biện pháp ứng phó với mưa lũ hiệu quả hơn, tránh bị động.",Neutral,19:00
129,P1,17/09/2024,"Lo cho các em học sinh quá, không biết khi nào mới được đi học lại.",Negative,20:45
130,P2,17/09/2024,"Ngoài trời đang mưa rất to, mọi người hạn chế ra đường nhé!",Negative,22:30
131,P3,18/09/2024,"Đề nghị chính quyền thông tin kịp thời về tình hình mưa lũ để người dân chủ động phòng tránh.",Neutral,08:15
132,P1,18/09/2024,"Ai ở gần khu vực Chương Mỹ cho mình hỏi thăm, nước có ngập sâu lắm không?",Negative,10:00
133,P2,18/09/2024,"Nghe nói ngày mai triều cường, nước sông Hồng sẽ còn dâng cao nữa, nguy hiểm quá.",Negative,11:45
134,P3,19/09/2024,"Chính phủ cần có chính sách hỗ trợ người dân khắc phục hậu quả thiên tai một cách thiết thực.",Neutral,13:30
135,P1,19/09/2024,"Đã liên lạc được với đội cứu hộ ở huyện Đan Phượng chưa mọi người ơi?",Neutral,15:15
136,P2,19/09/2024,"Khu vực ngoại thành Hà Nội đang bị ảnh hưởng nặng nề bởi mưa lũ, cần hỗ trợ khẩn cấp.",Negative,17:00
137,P3,19/09/2024,"Cần tăng cường công tác tuyên truyền, nâng cao ý thức của người dân trong phòng chống thiên tai.",Neutral,18:45
138,P1,20/09/2024,"Gia đình nào ở quận Hoàng Mai có thuyền, cano không dùng đến thì cho bà con mượn với ạ.",Neutral,20:30
139,P2,20/09/2024,"Hôm nay nước đã rút được bao nhiêu cm rồi ạ? Đường xá có đi lại được chưa?",Neutral,22:15
140,P3,20/09/2024,"Đề nghị các cơ quan chức năng khẩn trương dọn dẹp vệ sinh môi trường sau khi nước rút.",Neutral,23:55
141,P1,21/09/2024,"Cảm ơn các tổ chức, cá nhân đã chung tay hỗ trợ người dân Hà Nội vượt qua khó khăn!",Positive,08:00
142,P2,21/09/2024,"Thời tiết đã tốt lên, nhưng hậu quả của mưa lũ vẫn còn rất nặng nề.",Negative,09:45
143,P3,21/09/2024,"Sau đợt lũ này, cần rút kinh nghiệm để làm tốt hơn công tác phòng chống thiên tai trong tương lai.",Neutral,11:30
144,P1,17/09/2024,"Cầu mong cho tất cả người dân Hà Nội đều được an toàn!",Positive,13:15
145,P2,17/09/2024,"Mưa như trút nước, không biết đến bao giờ mới tạnh.",Negative,15:00
146,P3,18/09/2024,"Chính quyền cần có phương án sơ tán người dân ở những vùng có nguy cơ sạt lở đất.",Neutral,16:45
147,P1,18/09/2024,"Cần cứu trợ gấp cho bà con ở khu vực Ba Vì, nước ngập sâu quá rồi!",Negative,18:30
148,P2,18/09/2024,"Liệu mực nước các sông có tiếp tục dâng cao nữa không ạ?",Neutral,20:15
149,P3,19/09/2024,"UBND Thành phố đã có chỉ đạo gì mới về công tác phòng chống lũ lụt chưa?",Neutral,22:00
150,P1,19/09/2024,"Các đội cứu hộ đang phải làm việc hết công suất, rất vất vả và nguy hiểm.",Positive,23:45
151,P2,19/09/2024,"Khu vực nội thành Hà Nội có nơi nào vẫn còn ngập úng nghiêm trọng không?",Neutral,08:55
152,P3,20/09/2024,"Cần có biện pháp hỗ trợ kịp thời cho các hộ dân bị thiệt hại về nhà cửa, tài sản.",Neutral,10:40
153,P1,20/09/2024,"Có ai cần giúp đỡ di chuyển đồ đạc ở khu vực Hoài Đức không ạ?",Neutral,12:25
154,P2,20/09/2024,"Nước đang rút dần, nhưng vẫn còn nhiều tuyến đường bị ngập, mọi người đi lại cẩn thận nhé.",Negative,14:10
155,P3,21/09/2024,"Thành phố Hà Nội cần sớm công bố thiệt hại do mưa lũ gây ra.",Neutral,15:55
156,P1,21/09/2024,"Rất nhiều người đã mất đi người thân, nhà cửa trong đợt lũ này, thật đau lòng!",Negative,17:40
157,P2,21/09/2024,"Hôm nay trời quang mây tạnh, hy vọng tình hình sẽ không xấu đi.",Positive,19:25
158,P3,17/09/2024,"Thành phố cần có kế hoạch cụ thể để ứng phó với tình hình mưa lũ đang diễn biến phức tạp.",Neutral,21:10
159,P1,17/09/2024,"Lo lắng quá, không biết người thân ở quê có an toàn không?",Negative,22:55
160,P2,17/09/2024,"Mưa lớn thế này có ảnh hưởng đến các hồ chứa nước không ạ?",Neutral,00:40
161,P3,18/09/2024,"Chính quyền cần thông báo cho người dân biết các điểm sơ tán an toàn.",Neutral,08:25
162,P1,18/09/2024,"Cần khẩn trương đưa người dân ra khỏi các khu vực bị cô lập!",Negative,10:10
163,P2,18/09/2024,"Dự báo thời tiết nói mưa sẽ còn kéo dài đến ngày mai, mọi người chuẩn bị tinh thần nhé.",Negative,11:55
164,P3,19/09/2024,"Nhà nước có hỗ trợ kinh phí cho các địa phương để khắc phục hậu quả mưa lũ không?",Neutral,13:40
165,P1,19/09/2024,"Rất cảm kích trước sự dũng cảm, quên mình của các lực lượng cứu hộ!",Positive,15:25
166,P2,19/09/2024,"Không biết tình hình ngập lụt ở các tỉnh lân cận Hà Nội thế nào rồi?",Neutral,17:10
167,P3,20/09/2024,"Cần đảm bảo đủ lương thực, thực phẩm, nước uống cho người dân vùng lũ.",Neutral,18:55
168,P1,20/09/2024,"Mọi người ơi, có ai biết chỗ nào đang phát đồ cứu trợ miễn phí không?",Neutral,20:40
169,P2,20/09/2024,"Nước rút đến đâu rồi mọi người ơi, đường sá đã thông xe chưa?",Neutral,22:25
170,P3,21/09/2024,"Cần khẩn trương khôi phục hoạt động sản xuất, kinh doanh sau lũ.",Neutral,08:10
171,P1,21/09/2024,"Mỗi người dân cần nâng cao ý thức, trách nhiệm trong việc phòng chống thiên tai.",Neutral,09:55
172,P2,21/09/2024,"Thời tiết Hà Nội hôm nay đã nắng ráo, thuận lợi cho công tác khắc phục hậu quả mưa lũ.",Positive,11:40
173,P3,17/09/2024,"UBND Thành phố đã họp khẩn để triển khai công tác ứng phó với mưa lũ chưa?",Neutral,13:25
174,P1,17/09/2024,"Cầu mong cho các lực lượng cứu hộ luôn được bình an!",Positive,15:10
175,P2,17/09/2024,"Mưa to quá, nước tràn cả vào nhà, khổ quá đi mất!",Negative,16:55
176,P3,18/09/2024,"Chính quyền địa phương phải túc trực 24/24 để kịp thời hỗ trợ người dân.",Neutral,18:40
177,P1,18/09/2024,"Có ai biết khu vực nào ở Đông Anh còn bị ngập nặng không ạ?",Neutral,20:25
178,P2,18/09/2024,"Mưa lớn thế này chắc chắn sẽ gây thiệt hại lớn về người và tài sản.",Negative,22:10
179,P3,19/09/2024,"Thủ tướng Chính phủ đã có chỉ đạo gì về công tác khắc phục hậu quả mưa lũ tại Hà Nội chưa?",Neutral,23:55
180,P1,19/09/2024,"Xúc động quá, có rất nhiều người dân đã tự nguyện tham gia cứu hộ!",Positive,08:45
181,P2,19/09/2024,"Tình hình mưa lũ ở các tỉnh miền núi phía Bắc có nghiêm trọng không?",Neutral,10:30
182,P3,20/09/2024,"Cần sớm ổn định đời sống cho người dân sau lũ.",Neutral,12:15
183,P1,20/09/2024,"Mọi người ơi, khu vực nhà mình đã có điện trở lại chưa?",Neutral,14:00
184,P2,20/09/2024,"Nước rút rồi nhưng vẫn còn nhiều bùn đất, dọn dẹp vất vả quá.",Negative,15:45
185,P3,21/09/2024,"Thành phố Hà Nội cần đẩy nhanh tiến độ các dự án chống ngập úng.",Neutral,17:30
186,P1,21/09/2024,"Tình người trong mưa lũ thật ấm áp, cảm ơn những tấm lòng nhân ái!",Positive,19:15
187,P2,21/09/2024,"Hy vọng thời tiết sẽ tiếp tục thuận lợi để người dân khắc phục hậu quả mưa lũ.",Positive,21:00
188,P3,17/09/2024,"Đề nghị các cơ quan chức năng tăng cường kiểm tra hệ thống đê điều, hồ đập.",Neutral,22:45
189,P1,17/09/2024,"Lo quá, không biết tình hình mưa lũ thế này kéo dài bao lâu.",Negative,00:30
190,P2,17/09/2024,"Mưa to quá, các phương tiện giao thông di chuyển rất khó khăn.",Negative,08:15
191,P3,18/09/2024,"Chính quyền cần bố trí lực lượng ứng trực tại các điểm xung yếu để kịp thời xử lý các tình huống khẩn cấp.",Neutral,10:00
192,P1,18/09/2024,"Ai có thuyền ở khu vực Thanh Oai cho mượn với, nước ngập hết đường rồi!",Negative,11:45
193,P2,18/09/2024,"Dự báo thời tiết nói mực nước các sông vẫn đang ở mức cao, cần đề phòng lũ quét, sạt lở đất.",Negative,13:30
194,P3,19/09/2024,"Chính phủ có hỗ trợ gì cho các hộ gia đình có người bị chết, mất tích do mưa lũ không?",Neutral,15:15
195,P1,19/09/2024,"Nhiều người dân đã thể hiện tinh thần đoàn kết, tương trợ lẫn nhau trong lúc khó khăn, hoạn nạn.",Positive,17:00
196,P2,19/09/2024,"Mưa đã ngớt dần nhưng nguy cơ ngập úng vẫn còn rất cao, mọi người không nên chủ quan.",Negative,18:45
197,P3,20/09/2024,"Sau lũ, cần chú ý đề phòng dịch bệnh, đảm bảo vệ sinh môi trường.",Neutral,20:30
198,P1,20/09/2024,"Có đội cứu trợ nào đang ở gần khu vực Thạch Thất không ạ, cho mình xin thông tin với!",Neutral,22:15
199,P2,20/09/2024,"Nước đã rút, nhưng giao thông vẫn còn ách tắc ở một số tuyến đường.",Negative,23:55
200,P3,21/09/2024,"Các cơ quan chức năng đang nỗ lực khắc phục hậu quả mưa lũ, đảm bảo cuộc sống cho người dân.",Positive,08:00
201,P1,17/09/2024,"Mong đội cứu hộ sớm đến được chỗ chúng tôi, nước ngập đến cửa sổ rồi!",Negative,09:45
202,P2,17/09/2024,"Sao dự báo thời tiết không cập nhật gì mới vậy?",Neutral,11:30
203,P3,18/09/2024,"Cơ quan chức năng làm việc kiểu gì mà để dân kêu cứu khắp nơi thế này?",Negative,13:15
204,P1,18/09/2024,"Cảm ơn các anh lính cứu hỏa đã dầm mưa cứu người!",Positive,15:00
205,P2,18/09/2024,"Mưa bão thế này, đi làm nguy hiểm quá.",Negative,16:45
206,P3,19/09/2024,"Đề nghị hỗ trợ thêm xuồng cứu sinh cho khu vực ngoại thành, thiếu thốn quá!",Negative,18:30
207,P1,19/09/2024,"Khu vực Phúc Thọ đã có xuồng cứu hộ chưa ạ? Cứu giúp bà con với!",Negative,20:15
208,P2,19/09/2024,"Trưa nay có giảm mưa không admin ơi?",Neutral,22:00
209,P3,20/09/2024,"Các ban ngành đoàn thể vào cuộc hỗ trợ dân chưa, hay vẫn họp trên giấy?",Negative,23:45
210,P1,20/09/2024,"Nhóm thiện nguyện của mình đang chuẩn bị đồ cứu trợ, ai tham gia cùng không?",Neutral,08:55
211,P2,20/09/2024,"Nước rút rồi mà rác rưởi, bùn đất khắp nơi, ô nhiễm quá!",Negative,10:40
212,P3,21/09/2024,"Chính phủ đã phê duyệt gói hỗ trợ tái thiết nhà cửa cho người dân bị thiệt hại chưa?",Neutral,12:25
213,P1,21/09/2024,"Tình nguyện viên ơi, đến giúp khu vực Mê Linh với, nhiều người già neo đơn lắm!",Negative,14:10
214,P2,21/09/2024,"Biết đến khi nào Hà Nội mới hết cảnh cứ mưa to là ngập?",Negative,15:55
215,P3,17/09/2024,"Thông báo khẩn: Các hộ dân ở ven sông Hồng cần sơ tán ngay lập tức!",Neutral,17:40
216,P1,17/09/2024,"Bà con ở Quốc Oai có ổn không? Cần giúp đỡ gì không?",Neutral,19:25
217,P2,17/09/2024,"Không biết tối nay có bão vào Hà Nội không nhỉ? Đáng sợ quá!",Negative,21:10
218,P3,18/09/2024,"Chính quyền phải chịu trách nhiệm về tình trạng ngập úng nghiêm trọng này.",Negative,22:55
219,P1,18/09/2024,"Đội cứu hộ số XX đã đến khu vực Ứng Hòa chưa vậy?",Neutral,08:40
220,P2,18/09/2024,"Mưa to thế này chắc chắn nhiều nơi bị mất điện.",Negative,10:25
221,P3,19/09/2024,"Các tuyến đường chính đã được giải tỏa chưa? Giao thông tắc nghẽn quá!",Negative,12:10
222,P1,19/09/2024,"Nhiều gia đình phải ăn mì tôm sống qua ngày, thật tội nghiệp!",Negative,13:55
223,P2,19/09/2024,"Nước sông Đáy có tràn vào khu dân cư không mọi người?",Negative,15:40
224,P3,20/09/2024,"Yêu cầu làm rõ trách nhiệm của các đơn vị liên quan trong việc để xảy ra ngập úng.",Neutral,17:25
